epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.550714,0.459115,0.601750,0.586456,0.787966,0.467024,0.951345,0.816170,1.00e-04,682.9
2,0.521267,0.457478,0.625858,0.631557,0.748792,0.546063,0.929074,0.822175,1.00e-04,356.7
3,0.512962,0.436035,0.618465,0.624676,0.725195,0.548631,0.919510,0.815997,1.00e-04,382.1
4,0.507847,0.447894,0.600454,0.600968,0.700330,0.526298,0.912811,0.804935,1.00e-04,352.2
5,0.505194,0.436205,0.648314,0.659022,0.785403,0.567676,0.939949,0.836047,1.00e-04,335.2
6,0.502464,0.434696,0.621321,0.624693,0.747704,0.536439,0.929920,0.820099,1.00e-04,404.4
7,0.498534,0.413933,0.641611,0.647545,0.796212,0.545661,0.945929,0.834214,1.00e-04,446.3
8,0.496589,0.419197,0.622373,0.614679,0.822420,0.490724,0.958977,0.828287,1.00e-04,417.6
9,0.494236,0.435289,0.627433,0.637691,0.730003,0.566105,0.918937,0.820461,1.00e-04,780.0
10,0.494717,0.413139,0.628630,0.624825,0.818819,0.505146,0.956726,0.830689,1.00e-04,403.0
11,0.492189,0.419908,0.634751,0.640190,0.777366,0.544167,0.939662,0.829279,1.00e-04,326.3
12,0.489634,0.421825,0.627994,0.640977,0.718737,0.578400,0.912369,0.819157,1.00e-04,484.8
13,0.488894,0.416749,0.643092,0.654725,0.764864,0.572314,0.931882,0.831526,1.00e-04,647.1
14,0.489973,0.419003,0.624413,0.621043,0.799185,0.507843,0.950595,0.827022,1.00e-04,814.6
15,0.487879,0.431098,0.613440,0.609758,0.761310,0.508528,0.938273,0.818330,1.00e-04,527.8
16,0.486908,0.422954,0.638737,0.652718,0.740616,0.583471,0.920885,0.826712,5.00e-05,654.0
17,0.483509,0.420116,0.621352,0.616752,0.795915,0.503429,0.950023,0.825378,5.00e-05,625.4
18,0.482382,0.406387,0.639989,0.640050,0.833886,0.519333,0.959947,0.836971,5.00e-05,614.6
19,0.481476,0.407904,0.646077,0.652645,0.806507,0.548085,0.949091,0.837170,5.00e-05,702.1
20,0.481941,0.409814,0.649504,0.663451,0.768719,0.583542,0.932027,0.834764,5.00e-05,363.5
21,0.480510,0.418722,0.619576,0.613599,0.798450,0.498249,0.951307,0.824857,5.00e-05,614.6
22,0.479965,0.423329,0.622816,0.627651,0.744423,0.542547,0.927884,0.820336,5.00e-05,879.5
23,0.480645,0.413142,0.641323,0.652950,0.760033,0.572316,0.930041,0.830199,5.00e-05,951.4
24,0.480003,0.407769,0.647738,0.658922,0.780691,0.570014,0.938006,0.835298,2.50e-05,857.7
25,0.478330,0.422078,0.627450,0.630831,0.766679,0.535879,0.936861,0.824946,2.50e-05,857.8
26,0.476887,0.415800,0.623584,0.622650,0.780076,0.518095,0.943450,0.824732,2.50e-05,815.4
27,0.477194,0.403588,0.650343,0.655410,0.832677,0.540372,0.957960,0.841410,2.50e-05,890.7
28,0.476971,0.415048,0.629143,0.628620,0.797196,0.518895,0.948893,0.828880,2.50e-05,554.0
29,0.474896,0.408774,0.651113,0.663500,0.782713,0.575802,0.938114,0.836992,2.50e-05,877.6
30,0.477928,0.417929,0.622994,0.620543,0.787710,0.511907,0.946588,0.825267,2.50e-05,830.3
31,0.476812,0.415819,0.630728,0.637688,0.756196,0.551293,0.931186,0.825157,2.50e-05,890.5
32,0.476306,0.413441,0.627359,0.625368,0.800742,0.513012,0.950576,0.828451,2.50e-05,830.0
33,0.475606,0.414879,0.636443,0.645756,0.759508,0.561640,0.931148,0.828018,1.25e-05,926.2
34,0.474742,0.420596,0.620434,0.616142,0.790358,0.504859,0.948154,0.824430,1.25e-05,803.1
35,0.473361,0.413485,0.633880,0.636157,0.794966,0.530234,0.947054,0.830719,1.25e-05,600.5
36,0.473915,0.416655,0.643377,0.655999,0.759972,0.577053,0.929438,0.831087,1.25e-05,304.5
37,0.473258,0.414638,0.627112,0.630280,0.766857,0.534998,0.937028,0.824820,1.25e-05,880.8
38,0.473765,0.414811,0.636341,0.642238,0.779531,0.546065,0.940207,0.830201,1.25e-05,728.6
39,0.473830,0.415003,0.641125,0.652644,0.760100,0.571808,0.930129,0.830121,6.25e-06,875.1
