epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.569377,0.511675,0.620068,0.649596,0.645231,0.654021,0.860777,0.803071,1.00e-04,729.6
2,0.527943,0.473583,0.495629,0.368838,0.929183,0.230085,0.993211,0.780221,1.00e-04,724.8
3,0.510934,0.460779,0.630283,0.633577,0.776310,0.535179,0.940297,0.827228,1.00e-04,768.2
4,0.498697,0.435114,0.585681,0.548201,0.878298,0.398450,0.978624,0.816697,1.00e-04,779.1
5,0.492609,0.456919,0.623621,0.638080,0.702033,0.584808,0.903902,0.814842,1.00e-04,992.7
6,0.485093,0.426922,0.642051,0.665737,0.703923,0.631481,0.897168,0.823014,1.00e-04,971.6
7,0.479438,0.418247,0.607534,0.587294,0.853656,0.447624,0.970291,0.824413,1.00e-04,978.8
8,0.477094,0.445928,0.619464,0.617242,0.773638,0.513446,0.941837,0.822272,1.00e-04,967.9
9,0.474832,0.445056,0.633719,0.666869,0.656972,0.677070,0.863131,0.811201,1.00e-04,962.1
10,0.474791,0.432211,0.615675,0.616839,0.742062,0.527777,0.928974,0.816999,1.00e-04,984.1
11,0.468506,0.417425,0.630135,0.630605,0.794025,0.522971,0.947477,0.828997,1.00e-04,976.2
12,0.469736,0.424276,0.633461,0.641338,0.759040,0.555239,0.931758,0.826671,1.00e-04,986.9
13,0.467017,0.434469,0.655007,0.665439,0.807476,0.565897,0.947763,0.841183,1.00e-04,999.7
14,0.466911,0.417926,0.636741,0.641509,0.788036,0.540930,0.943669,0.831264,1.00e-04,906.9
15,0.465149,0.430280,0.665665,0.696350,0.717917,0.676042,0.897159,0.835445,1.00e-04,1011.5
16,0.465660,0.411539,0.630376,0.628108,0.814237,0.511242,0.954843,0.831033,1.00e-04,940.1
17,0.462421,0.432824,0.643380,0.649061,0.803817,0.544274,0.948571,0.835731,1.00e-04,959.3
18,0.463359,0.425933,0.648243,0.662294,0.764757,0.584044,0.930445,0.833764,1.00e-04,984.9
19,0.461737,0.421589,0.623504,0.630142,0.737150,0.550264,0.924035,0.819715,1.00e-04,971.2
20,0.459580,0.429468,0.597630,0.575662,0.816008,0.444686,0.961181,0.817026,1.00e-04,1015.1
21,0.459266,0.425691,0.609601,0.604717,0.754848,0.504398,0.936578,0.815956,1.00e-04,1020.3
22,0.457521,0.416652,0.636304,0.643943,0.768795,0.553978,0.935499,0.829016,5.00e-05,945.5
23,0.454994,0.426315,0.613707,0.611236,0.755340,0.513307,0.935630,0.817759,5.00e-05,1114.6
24,0.453086,0.430245,0.614242,0.609937,0.767780,0.505927,0.940756,0.819395,5.00e-05,1093.7
25,0.451716,0.422588,0.626496,0.631828,0.752673,0.544420,0.930739,0.822917,5.00e-05,1115.9
26,0.450115,0.423574,0.611780,0.602786,0.787900,0.488107,0.949129,0.820457,5.00e-05,1053.9
27,0.448623,0.426072,0.621027,0.621981,0.760133,0.526324,0.935698,0.821441,5.00e-05,1123.2
28,0.450039,0.423377,0.619419,0.621936,0.746462,0.533017,0.929909,0.819135,2.50e-05,1076.9
29,0.446362,0.432640,0.607952,0.603303,0.747900,0.505560,0.934023,0.814438,2.50e-05,1138.5
30,0.445419,0.432031,0.619469,0.631471,0.702307,0.573616,0.905865,0.813134,2.50e-05,1103.9
31,0.445938,0.428894,0.615623,0.620102,0.725451,0.541471,0.920663,0.814830,2.50e-05,1200.0
