epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.710002,0.490642,0.669027,0.719766,0.653576,0.800874,0.835652,0.825945,1.00e-04,172.7
2,0.594772,0.513001,0.593545,0.674908,0.540581,0.898067,0.704508,0.758530,1.00e-04,172.1
3,0.588688,0.456540,0.670653,0.698284,0.741286,0.659999,0.910820,0.840816,1.00e-04,173.0
4,0.585660,0.440556,0.685741,0.729481,0.693851,0.768969,0.868639,0.840821,1.00e-04,172.6
5,0.580082,0.481140,0.632408,0.681167,0.617709,0.759156,0.818101,0.801650,1.00e-04,172.8
6,0.574047,0.466701,0.622742,0.697640,0.570120,0.898643,0.737664,0.782594,1.00e-04,172.1
7,0.576983,0.570344,0.581507,0.619461,0.571670,0.675973,0.803912,0.768204,1.00e-04,172.3
8,0.566121,0.543644,0.554292,0.637204,0.506510,0.858799,0.676056,0.727060,1.00e-04,173.2
9,0.558471,0.517807,0.595757,0.628441,0.600305,0.659344,0.830035,0.782395,1.00e-04,172.4
10,0.564343,0.527559,0.592242,0.641049,0.570573,0.731389,0.786884,0.771395,5.00e-05,172.0
11,0.550532,0.479506,0.627763,0.664134,0.639366,0.690900,0.849123,0.804963,5.00e-05,172.5
12,0.547851,0.447080,0.653940,0.700488,0.647860,0.762424,0.839557,0.818029,5.00e-05,172.7
13,0.542463,0.534477,0.554839,0.638615,0.506638,0.863575,0.674420,0.727214,5.00e-05,172.8
14,0.544243,0.471564,0.639684,0.676992,0.654092,0.701554,0.856361,0.813154,5.00e-05,172.5
15,0.543613,0.544575,0.571141,0.560157,0.660040,0.486532,0.902981,0.786749,5.00e-05,172.7
16,0.537436,0.442917,0.657836,0.698081,0.670639,0.727866,0.861604,0.824277,2.50e-05,172.3
17,0.534638,0.465228,0.644173,0.682169,0.658542,0.707555,0.857962,0.815983,2.50e-05,172.6
18,0.531752,0.463294,0.628274,0.681249,0.605217,0.779130,0.803235,0.796508,2.50e-05,173.6
19,0.531024,0.496370,0.609364,0.652335,0.600408,0.714096,0.816001,0.787559,2.50e-05,172.7
20,0.528113,0.485454,0.641052,0.679142,0.653862,0.706456,0.855210,0.813693,2.50e-05,173.2
21,0.535857,0.474483,0.614905,0.664238,0.596337,0.749590,0.803555,0.788494,2.50e-05,172.3
22,0.528853,0.476562,0.637120,0.669550,0.664454,0.674726,0.868082,0.814116,1.25e-05,172.2
23,0.528187,0.451088,0.650627,0.695207,0.648987,0.748517,0.843261,0.816818,1.25e-05,173.4
24,0.525881,0.452683,0.643596,0.685445,0.647207,0.728487,0.846260,0.813389,1.25e-05,172.6
25,0.524122,0.458977,0.635579,0.679865,0.631031,0.736892,0.833187,0.806310,1.25e-05,172.7
26,0.523997,0.460238,0.645245,0.674202,0.689549,0.659525,0.885040,0.822098,1.25e-05,173.0
27,0.522345,0.463320,0.644303,0.678790,0.669274,0.688582,0.868263,0.818113,1.25e-05,172.6
28,0.522421,0.447162,0.660933,0.702795,0.669680,0.739358,0.858808,0.825469,6.25e-06,172.4
29,0.521567,0.453444,0.642873,0.690234,0.632893,0.759002,0.829551,0.809861,6.25e-06,174.2
30,0.521558,0.461425,0.637621,0.680641,0.636560,0.731284,0.838353,0.808470,6.25e-06,174.6
31,0.519824,0.468643,0.635327,0.667566,0.662185,0.673036,0.867069,0.812914,6.25e-06,173.5
