Model,mIoU_mean,mIoU_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,n_seeds
vit_unet_4skip,0.6843943333333332,0.0016604991217502,0.7269716666666667,0.0061460203655156,0.697218,0.016236479698506,0.7605126666666667,0.0319968582259779,3
ViT-UNet,0.6751666484127417,0.0091928395830882,0.6985986711118812,0.026761668874092,0.7857368932953165,0.0795861504183505,0.6427528240362378,0.1093088704802966,3
SegFormer,0.6558040391386691,0.0100235823031497,0.6663046143798319,0.0146929873438459,0.8091581502466885,0.019993327375531,0.5669265971307769,0.0256644419073996,3
CBD-Net,0.6505356936236512,0.0208024086810679,0.6556973206940372,0.0315124518003121,0.8284622872108317,0.011737593027289,0.5438940172750852,0.0463121413808581,3
DS-UNet,0.6497399914434342,0.0033342787533688,0.663422330717284,0.0062240244952598,0.7715721041689355,0.0203581321551282,0.5824358669729499,0.0194897667898384,3
DeepLabV3+,0.6412623347795531,0.0098099163365756,0.6466552811029616,0.0141006246002382,0.7980180730085268,0.0082308139486605,0.5437433182097554,0.0190633973866504,3
TransUNet,0.6401271467440021,0.0246285096713828,0.6464033920764782,0.0400592132749263,0.7850395956654181,0.0256890046137157,0.5528136333472189,0.0672642392936592,3
U-Net,0.637189417117197,0.0098612003546953,0.6442924107135395,0.0125970606588494,0.774193240995341,0.0135768881668914,0.5517234416736305,0.0116065454289103,3
DAENet,0.6360856736891086,0.0185293487657805,0.6386006621206767,0.0208984425530266,0.8014768091028975,0.0484482193032152,0.5310396891375024,0.0076928573663092,3
LRA-UNet,0.6327452187761301,0.0145694158566008,0.6382345338477557,0.014585847776964,0.7727544281220663,0.0464491834620346,0.5443596737023804,0.009971528660116,3
