epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.542504,0.458670,0.640058,0.660858,0.711866,0.616671,0.903364,0.823348,1.00e-04,1178.0
2,0.513458,0.443424,0.616137,0.611521,0.776502,0.504362,0.943796,0.821149,1.00e-04,1005.7
3,0.506156,0.424781,0.574009,0.532125,0.839466,0.389517,0.971161,0.808823,1.00e-04,980.3
4,0.505360,0.424520,0.589264,0.555757,0.864652,0.409474,0.975184,0.817293,1.00e-04,1064.2
5,0.499676,0.423760,0.651562,0.660818,0.805115,0.560383,0.947484,0.839443,1.00e-04,1127.3
6,0.497391,0.397720,0.672179,0.691753,0.791609,0.614268,0.937394,0.847209,1.00e-04,1145.8
7,0.496075,0.415657,0.645613,0.651696,0.808444,0.545861,0.949925,0.837150,1.00e-04,1129.0
8,0.494450,0.428113,0.636483,0.645968,0.758647,0.562433,0.930726,0.827935,1.00e-04,1041.8
9,0.492452,0.410881,0.630790,0.627364,0.824639,0.506255,0.958320,0.832148,1.00e-04,1057.8
10,0.494189,0.421674,0.641555,0.657342,0.738460,0.592282,0.918786,0.827658,1.00e-04,987.6
11,0.491172,0.408144,0.651742,0.665317,0.777013,0.581698,0.935369,0.836659,1.00e-04,991.6
12,0.489704,0.430268,0.620439,0.617447,0.781921,0.510142,0.944915,0.823569,5.00e-05,1017.5
13,0.485216,0.413365,0.637032,0.639051,0.807869,0.528593,0.951329,0.833343,5.00e-05,1204.9
14,0.483014,0.412929,0.609401,0.591720,0.841604,0.456253,0.966755,0.824273,5.00e-05,1179.9
15,0.482474,0.437462,0.608846,0.609702,0.722964,0.527122,0.921798,0.811643,5.00e-05,1160.4
16,0.481414,0.408423,0.617354,0.612569,0.782041,0.503467,0.945674,0.822253,5.00e-05,1236.0
17,0.480348,0.411130,0.632475,0.632576,0.805014,0.520981,0.951145,0.831085,5.00e-05,1390.1
18,0.480700,0.388238,0.659095,0.666363,0.845918,0.549687,0.961236,0.846372,5.00e-05,1738.5
19,0.478762,0.431529,0.597702,0.587753,0.740558,0.487221,0.933916,0.809243,5.00e-05,1858.6
20,0.478470,0.416399,0.646266,0.661771,0.751540,0.591160,0.924334,0.831345,5.00e-05,4384.8
21,0.478289,0.405285,0.648094,0.655361,0.808164,0.551153,0.949349,0.838212,5.00e-05,1707.5
22,0.477822,0.413012,0.629584,0.631616,0.781907,0.529786,0.942789,0.827519,5.00e-05,1294.6
23,0.477800,0.417298,0.639593,0.645450,0.790167,0.545537,0.943912,0.832725,5.00e-05,1151.5
24,0.476636,0.416984,0.631590,0.637435,0.765121,0.546272,0.935075,0.826559,2.50e-05,1191.4
25,0.474143,0.416263,0.618402,0.618016,0.759190,0.521115,0.936005,0.820208,2.50e-05,1193.1
26,0.474237,0.409144,0.633358,0.639009,0.771716,0.545247,0.937554,0.828061,2.50e-05,1169.8
27,0.472959,0.409628,0.640763,0.647601,0.787472,0.549924,0.942539,0.832959,2.50e-05,1176.1
28,0.472856,0.416004,0.624653,0.624727,0.777460,0.522151,0.942135,0.824917,2.50e-05,1077.0
29,0.475025,0.418998,0.621961,0.620515,0.777598,0.516231,0.942837,0.823770,2.50e-05,1037.7
30,0.473282,0.407196,0.653681,0.663892,0.804946,0.564903,0.947003,0.840358,1.25e-05,915.9
31,0.470858,0.409319,0.637739,0.641981,0.794838,0.538435,0.946193,0.832387,1.25e-05,1015.0
32,0.471240,0.422458,0.618960,0.615349,0.780491,0.507887,0.944698,0.822783,1.25e-05,967.6
33,0.469733,0.419763,0.630313,0.635874,0.762885,0.545119,0.934403,0.825753,1.25e-05,894.4
