epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
4,0.495890,0.434262,0.629503,0.645786,0.707930,0.593673,0.905173,0.818233,1.00e-04,193.7
1,0.521564,0.437809,0.614679,0.616621,0.735060,0.531054,0.925894,0.815693,1.00e-04,252.8
5,0.488729,0.436639,0.600807,0.590090,0.756083,0.483862,0.939566,0.812378,1.00e-04,197.6
2,0.505295,0.451453,0.535886,0.469380,0.772002,0.337200,0.961444,0.787216,1.00e-04,147.8
6,0.493197,0.421197,0.612642,0.608168,0.763118,0.505523,0.939247,0.818194,1.00e-04,159.5
3,0.496422,0.431402,0.592285,0.575407,0.758266,0.463607,0.942779,0.809041,1.00e-04,148.5
7,0.487458,0.420439,0.620559,0.623731,0.746458,0.535662,0.929559,0.819622,1.00e-04,166.3
4,0.493713,0.442630,0.609668,0.624910,0.668314,0.586800,0.887248,0.803392,1.00e-04,148.9
8,0.487904,0.419952,0.643698,0.659781,0.742162,0.593863,0.920123,0.829063,1.00e-04,169.9
5,0.488306,0.449559,0.526083,0.435331,0.899116,0.287192,0.987524,0.792060,1.00e-04,155.6
6,0.491056,0.425626,0.611611,0.607459,0.757675,0.506951,0.937227,0.817137,1.00e-04,158.6
9,0.482022,0.418175,0.615810,0.610955,0.776788,0.503472,0.943988,0.821039,1.00e-04,177.2
7,0.484480,0.408006,0.641688,0.655414,0.749460,0.582339,0.924631,0.829097,1.00e-04,156.7
10,0.481602,0.414956,0.632263,0.635032,0.786192,0.532626,0.943920,0.829127,1.00e-04,176.5
8,0.482721,0.418476,0.632554,0.638009,0.770388,0.544454,0.937175,0.827566,1.00e-04,159.4
11,0.480564,0.441185,0.596592,0.578734,0.782394,0.459202,0.950553,0.813416,1.00e-04,180.4
9,0.478091,0.424700,0.616833,0.613333,0.772140,0.508708,0.941880,0.820980,1.00e-04,160.8
12,0.476380,0.415238,0.641121,0.648349,0.786058,0.551699,0.941866,0.832969,1.00e-04,175.3
10,0.481338,0.433326,0.588608,0.572348,0.740371,0.466483,0.936667,0.805438,1.00e-04,158.6
13,0.474966,0.424408,0.601366,0.590311,0.760126,0.482516,0.941048,0.813071,1.00e-04,179.7
11,0.480972,0.427836,0.618452,0.608434,0.823220,0.482536,0.959882,0.826654,1.00e-04,159.7
14,0.476867,0.415492,0.627295,0.632134,0.757807,0.542214,0.932909,0.823866,1.00e-04,183.7
12,0.479001,0.416973,0.632474,0.631593,0.812088,0.516742,0.953707,0.831749,1.00e-04,162.3
15,0.474467,0.425817,0.589473,0.559221,0.837462,0.419759,0.968459,0.815316,1.00e-04,190.4
13,0.474700,0.425996,0.594523,0.578830,0.760395,0.467259,0.942996,0.810217,5.00e-05,165.6
14,0.469024,0.414970,0.646410,0.660618,0.759054,0.584783,0.928133,0.832303,5.00e-05,162.1
16,0.479909,0.422061,0.609563,0.602887,0.765008,0.497464,0.940839,0.817092,5.00e-05,186.3
15,0.468522,0.413523,0.619434,0.615868,0.781929,0.507986,0.945151,0.823137,5.00e-05,158.6
