epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.583183,0.475771,0.615447,0.607588,0.794944,0.491703,0.950895,0.822733,1.00e-04,238.6
2,0.543628,0.454331,0.615290,0.607472,0.794036,0.491898,0.950601,0.822576,1.00e-04,231.4
3,0.536401,0.460655,0.616661,0.614168,0.765522,0.512784,0.939191,0.820180,1.00e-04,234.6
4,0.532003,0.454986,0.593897,0.578485,0.756267,0.468380,0.941558,0.809493,1.00e-04,229.1
5,0.528192,0.445834,0.612437,0.612025,0.740151,0.521714,0.929088,0.815389,1.00e-04,222.7
6,0.526471,0.438977,0.584238,0.556263,0.792024,0.428664,0.956421,0.809123,1.00e-04,231.5
7,0.525443,0.445973,0.590423,0.567108,0.790446,0.442174,0.954616,0.811592,1.00e-04,236.2
8,0.524477,0.456120,0.590315,0.575084,0.741391,0.469719,0.936566,0.806268,1.00e-04,231.8
9,0.522268,0.426563,0.638625,0.644534,0.786713,0.545880,0.942703,0.831949,1.00e-04,231.9
10,0.522561,0.432330,0.604963,0.600998,0.734419,0.508602,0.928793,0.811517,1.00e-04,228.4
11,0.520829,0.435537,0.595080,0.574546,0.793402,0.450326,0.954601,0.813857,1.00e-04,287.5
12,0.519182,0.437077,0.617578,0.621197,0.735268,0.537767,0.925037,0.816949,1.00e-04,234.0
13,0.517338,0.431634,0.643869,0.654588,0.772457,0.567928,0.935230,0.832716,1.00e-04,241.1
14,0.516880,0.438414,0.601525,0.589170,0.768426,0.477729,0.944261,0.814051,1.00e-04,276.7
15,0.518726,0.448723,0.618167,0.624308,0.724697,0.548349,0.919351,0.815803,5.00e-05,277.1
16,0.514517,0.427121,0.628038,0.637008,0.737957,0.560354,0.922964,0.821759,5.00e-05,285.3
17,0.515086,0.437489,0.625663,0.632030,0.744692,0.548977,0.927133,0.821589,5.00e-05,259.4
18,0.513134,0.442880,0.613634,0.620633,0.708676,0.552049,0.912139,0.811637,5.00e-05,275.3
19,0.510610,0.430117,0.627204,0.632913,0.752712,0.546012,0.930551,0.823225,5.00e-05,272.5
20,0.510796,0.436937,0.639017,0.656976,0.722130,0.602607,0.910226,0.824369,5.00e-05,278.8
21,0.510883,0.441546,0.617857,0.618439,0.752020,0.525157,0.932955,0.819138,2.50e-05,285.2
22,0.508056,0.421519,0.648142,0.661916,0.766104,0.582675,0.931127,0.833873,2.50e-05,289.6
23,0.508328,0.430020,0.631956,0.636552,0.773709,0.540702,0.938774,0.827671,2.50e-05,328.0
24,0.507161,0.431848,0.619175,0.624583,0.731024,0.545200,0.922335,0.817076,2.50e-05,352.6
25,0.508307,0.427427,0.638356,0.650941,0.746862,0.576856,0.924304,0.827330,2.50e-05,324.8
26,0.507631,0.433142,0.628641,0.633889,0.759592,0.543884,0.933356,0.824653,2.50e-05,318.9
27,0.506966,0.431357,0.646703,0.667096,0.727925,0.615651,0.910911,0.828503,2.50e-05,299.2
28,0.506770,0.427640,0.647569,0.664185,0.748812,0.596744,0.922500,0.831581,1.25e-05,317.9
29,0.505117,0.425560,0.643598,0.654969,0.767798,0.571053,0.933137,0.832079,1.25e-05,267.8
30,0.506747,0.427951,0.627329,0.632600,0.755501,0.544091,0.931829,0.823610,1.25e-05,262.0
31,0.505278,0.427751,0.640114,0.653552,0.746931,0.580927,0.923798,0.828102,1.25e-05,294.1
32,0.506452,0.443087,0.616453,0.624152,0.713012,0.554987,0.913515,0.813449,1.25e-05,289.8
33,0.505519,0.428413,0.636238,0.648743,0.741772,0.576449,0.922307,0.825777,1.25e-05,278.7
34,0.504610,0.423590,0.645882,0.658941,0.764200,0.579169,0.930812,0.832668,6.25e-06,270.2
35,0.503955,0.429729,0.628349,0.634460,0.753890,0.547696,0.930777,0.823858,6.25e-06,282.1
36,0.505142,0.437126,0.622382,0.629913,0.729631,0.554176,0.920496,0.818255,6.25e-06,271.9
37,0.503318,0.425327,0.640058,0.650752,0.761838,0.567940,0.931261,0.829858,6.25e-06,340.4
