idx,filename,ViT-UNet_iou,ViT-UNet_fp,ViT-UNet_fn,ViT-UNet_precision,ViT-UNet_recall,ViT-UNet_error_type,U-Net_iou,U-Net_fp,U-Net_fn,U-Net_precision,U-Net_recall,U-Net_error_type,DeepLabV3+_iou,DeepLabV3+_fp,DeepLabV3+_fn,DeepLabV3+_precision,DeepLabV3+_recall,DeepLabV3+_error_type,CBD-Net_iou,CBD-Net_fp,CBD-Net_fn,CBD-Net_precision,CBD-Net_recall,CBD-Net_error_type
0,palsar_0.png,0.02641045889037374,403,10693,0.42755681757449315,0.02737857012667104,Under-segmentation,0.015203310541993224,122,10825,0.5807560117499794,0.015372021101021281,Under-segmentation,0.10288988539255191,1048,9755,0.5417577610224059,0.11269783517257614,Under-segmentation,0.11943044555480117,1507,9501,0.4976666665007778,0.13580134617647796,Under-segmentation
1,palsar_1.png,0.017543859647614048,1454,9970,0.1230398069221714,0.020051110672296923,Under-segmentation,0.0,0,10174,0.0,0.0,Under-segmentation,0.0,368,10174,0.0,0.0,Under-segmentation,0.0,13,10174,0.0,0.0,Under-segmentation
2,palsar_10.png,0.5964864701803023,13311,80,0.5979278680421093,0.9959748427171836,Over-segmentation,0.646678503211059,9976,571,0.6592896174638221,0.9712704402027034,Over-segmentation,0.5003341893094475,8552,5652,0.62450054882,0.7156226414734278,Over-segmentation,0.6402176927121389,8973,1406,0.6730194591985635,0.929257861588465,Over-segmentation
3,palsar_100.png,0.0,0,2858,0.0,0.0,Under-segmentation,0.0,0,2858,0.0,0.0,Under-segmentation,0.0,0,2858,0.0,0.0,Under-segmentation,0.0,0,2858,0.0,0.0,Under-segmentation
4,palsar_101.png,0.0,136,12736,0.0,0.0,Under-segmentation,0.055544307210937144,2081,11913,0.28340220375915903,0.06461997486929805,Under-segmentation,0.009955593753763387,1226,12597,0.10183150175689999,0.010913944722761153,Under-segmentation,0.059515273192347964,1210,11906,0.4068627448985967,0.06516959798483278,Under-segmentation
5,palsar_102.png,0.0,0,3853,0.0,0.0,Under-segmentation,0.0,0,3853,0.0,0.0,Under-segmentation,0.0,0,3853,0.0,0.0,Under-segmentation,0.0,0,3853,0.0,0.0,Under-segmentation
6,palsar_103.png,0.0,0,1156,0.0,0.0,Under-segmentation,0.0,0,1156,0.0,0.0,Under-segmentation,0.0,0,1156,0.0,0.0,Under-segmentation,0.0,0,1156,0.0,0.0,Under-segmentation
7,palsar_104.png,0.0,0,6090,0.0,0.0,Under-segmentation,0.0,51,6090,0.0,0.0,Under-segmentation,0.0,0,6090,0.0,0.0,Under-segmentation,0.017441860462375572,274,5979,0.28831168756282677,0.0182266009822288,Under-segmentation
8,palsar_105.png,0.0,0,14445,0.0,0.0,Under-segmentation,0.0,0,14445,0.0,0.0,Under-segmentation,0.0,0,14445,0.0,0.0,Under-segmentation,0.0,0,14445,0.0,0.0,Under-segmentation
9,palsar_106.png,0.0,0,2381,0.0,0.0,Under-segmentation,0.0,0,2381,0.0,0.0,Under-segmentation,0.0,105,2381,0.0,0.0,Under-segmentation,0.0,0,2381,0.0,0.0,Under-segmentation
10,palsar_107.png,0.0,27,14399,0.0,0.0,Under-segmentation,0.0,931,14399,0.0,0.0,Under-segmentation,0.008776107217581052,300,14270,0.3006992999983699,0.008958955482397462,Under-segmentation,0.0,781,14399,0.0,0.0,Under-segmentation
11,palsar_108.png,0.0,0,3381,0.0,0.0,Under-segmentation,0.0,0,3381,0.0,0.0,Under-segmentation,0.0,0,3381,0.0,0.0,Under-segmentation,0.0,0,3381,0.0,0.0,Under-segmentation
12,palsar_109.png,0.0,0,14796,0.0,0.0,Under-segmentation,0.0,0,14796,0.0,0.0,Under-segmentation,0.0,0,14796,0.0,0.0,Under-segmentation,0.0,0,14796,0.0,0.0,Under-segmentation
13,palsar_11.png,0.0,0,9552,0.0,0.0,Under-segmentation,0.0,287,9552,0.0,0.0,Under-segmentation,0.0,0,9552,0.0,0.0,Under-segmentation,9.289363677725093e-05,1213,9551,0.0008237232283165376,0.0001046901172419713,Under-segmentation
14,palsar_110.png,0.0,0,10600,0.0,0.0,Under-segmentation,0.0,2,10600,0.0,0.0,Under-segmentation,0.0,0,10600,0.0,0.0,Under-segmentation,0.0,7,10600,0.0,0.0,Under-segmentation
15,palsar_111.png,0.2494292772852541,11407,12594,0.4114946086564776,0.3877491492276252,Under-segmentation,0.3008643616921255,9510,11520,0.4876077585944177,0.4399611083889178,Under-segmentation,0.11712830172023082,2789,17834,0.4952036198198726,0.13300923674608608,Under-segmentation,0.29986549855320566,6939,12321,0.5431261521896809,0.40102090420996495,Under-segmentation
16,palsar_112.png,0.0,0,2256,0.0,0.0,Under-segmentation,0.0,0,2256,0.0,0.0,Under-segmentation,0.0,0,2256,0.0,0.0,Under-segmentation,0.0,0,2256,0.0,0.0,Under-segmentation
17,palsar_113.png,0.07493398888510115,74,10086,0.9175027860451473,0.07544229534554567,Under-segmentation,0.22526469512365235,47,8441,0.9813121268463968,0.22623521860608348,Under-segmentation,0.1033539919701646,63,9775,0.9473684202611792,0.1039508662476899,Under-segmentation,0.5177123345695508,806,4844,0.8826953862781698,0.5559629663070893,Under-segmentation
18,palsar_114.png,0.0,0,14183,0.0,0.0,Under-segmentation,0.0,745,14183,0.0,0.0,Under-segmentation,0.0,0,14183,0.0,0.0,Under-segmentation,0.0006900445391951544,1758,14172,0.0062182023707076295,0.0007755763942201526,Under-segmentation
19,palsar_115.png,0.26356530315978105,1648,8056,0.6781878538023456,0.3012403503945494,Under-segmentation,0.0,0,11529,0.0,0.0,Under-segmentation,0.03218607844543935,122,11154,0.7545271614597039,0.03252667186811287,Under-segmentation,0.0,0,11529,0.0,0.0,Under-segmentation
20,palsar_116.png,0.0,0,4128,0.0,0.0,Under-segmentation,0.0,0,4128,0.0,0.0,Under-segmentation,0.0,0,4128,0.0,0.0,Under-segmentation,0.0,0,4128,0.0,0.0,Under-segmentation
21,palsar_117.png,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed
22,palsar_118.png,0.0,0,4054,0.0,0.0,Under-segmentation,0.054267390218483626,0,3834,0.9999999954545454,0.054267390218483626,Under-segmentation,0.0,0,4054,0.0,0.0,Under-segmentation,0.2678774119709699,351,2874,0.770738079183058,0.2910705475355031,Under-segmentation
23,palsar_119.png,0.0,0,3288,0.0,0.0,Under-segmentation,0.0,15,3288,0.0,0.0,Under-segmentation,0.0,0,3288,0.0,0.0,Under-segmentation,0.0,0,3288,0.0,0.0,Under-segmentation
24,palsar_12.png,0.252764668583054,9123,12094,0.440306748439245,0.37242488711678556,Under-segmentation,0.14174027213709298,14241,14521,0.25011847716022756,0.2464843547171146,Under-segmentation,0.2108471820714032,2873,14602,0.6190665605119243,0.24228114782614907,Under-segmentation,0.1494838791847367,12117,14579,0.27913617703140364,0.2434746510174109,Under-segmentation
25,palsar_120.png,0.0,0,577,0.0,0.0,Under-segmentation,0.0,0,577,0.0,0.0,Under-segmentation,0.0,0,577,0.0,0.0,Under-segmentation,0.0,0,577,0.0,0.0,Under-segmentation
26,palsar_121.png,0.07217967767332382,3933,12302,0.24307159348670676,0.09310726132745246,Under-segmentation,0.048679073066848585,6156,12605,0.13490725124579717,0.07077036490447694,Under-segmentation,0.049155908636811435,4561,12674,0.16342626556063347,0.06568374492696766,Under-segmentation,0.06575317686131446,8548,12111,0.14537092580030284,0.10718761517823902,Under-segmentation
27,palsar_122.png,0.6101320014052753,7783,3145,0.6872413099985034,0.8446683458860735,Over-segmentation,0.7031423583279185,4957,2525,0.7814277525119525,0.8752901664011808,Over-segmentation,0.49807288683464707,5958,7195,0.6865860073284279,0.6446387118760982,Under-segmentation,0.718254128448409,4520,2458,0.7973911873774086,0.878599298618136,Over-segmentation
28,palsar_123.png,0.0,0,6114,0.0,0.0,Under-segmentation,0.0,0,6114,0.0,0.0,Under-segmentation,0.0,0,6114,0.0,0.0,Under-segmentation,0.0,1,6114,0.0,0.0,Under-segmentation
29,palsar_124.png,0.10291008580382352,1411,13016,0.539791258793284,0.11280757957107167,Under-segmentation,0.12419928824886126,2189,12577,0.48890964265960546,0.1427305568711928,Under-segmentation,0.1926334772286664,3628,11146,0.4928002236134768,0.24026992023445778,Under-segmentation,0.16535059074004924,2172,11886,0.5618317529631164,0.18983027740509642,Under-segmentation
30,palsar_125.png,0.0,38,17080,0.0,0.0,Under-segmentation,0.0,0,17080,0.0,0.0,Under-segmentation,0.0776683608599286,1808,15613,0.4479389311609347,0.08588992973736008,Under-segmentation,0.0,0,17080,0.0,0.0,Under-segmentation
31,palsar_126.png,0.0,0,3785,0.0,0.0,Under-segmentation,0.0,0,3785,0.0,0.0,Under-segmentation,0.0,0,3785,0.0,0.0,Under-segmentation,0.0,0,3785,0.0,0.0,Under-segmentation
32,palsar_127.png,0.0,0,5694,0.0,0.0,Under-segmentation,0.0,0,5694,0.0,0.0,Under-segmentation,0.0,0,5694,0.0,0.0,Under-segmentation,0.0,0,5694,0.0,0.0,Under-segmentation
33,palsar_128.png,0.0,0,3317,0.0,0.0,Under-segmentation,0.0,0,3317,0.0,0.0,Under-segmentation,0.0,0,3317,0.0,0.0,Under-segmentation,0.0,0,3317,0.0,0.0,Under-segmentation
34,palsar_129.png,0.0,0,5224,0.0,0.0,Under-segmentation,0.0,0,5224,0.0,0.0,Under-segmentation,0.0,0,5224,0.0,0.0,Under-segmentation,0.0,0,5224,0.0,0.0,Under-segmentation
35,palsar_13.png,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed,0.0,0,0,0.0,0.0,Mixed
36,palsar_130.png,0.0,0,1620,0.0,0.0,Under-segmentation,0.0,0,1620,0.0,0.0,Under-segmentation,0.0,0,1620,0.0,0.0,Under-segmentation,0.0,0,1620,0.0,0.0,Under-segmentation
37,palsar_131.png,0.0,0,2842,0.0,0.0,Under-segmentation,0.0,0,2842,0.0,0.0,Under-segmentation,0.0,0,2842,0.0,0.0,Under-segmentation,0.0,0,2842,0.0,0.0,Under-segmentation
38,palsar_132.png,0.0,0,9399,0.0,0.0,Under-segmentation,0.07299097930116202,7562,8161,0.1406818181658316,0.13171614000088136,Under-segmentation,0.04155374886665123,564,8985,0.42331288300274755,0.04404723906329958,Under-segmentation,0.009308940460966517,6070,9255,0.023173479236695608,0.01532077880462594,Under-segmentation
39,palsar_133.png,0.0,0,2448,0.0,0.0,Under-segmentation,0.0,0,2448,0.0,0.0,Under-segmentation,0.0,0,2448,0.0,0.0,Under-segmentation,0.0,0,2448,0.0,0.0,Under-segmentation
40,palsar_134.png,0.10843835966294937,2633,11303,0.3916358594289196,0.1304046776326816,Under-segmentation,0.07696949747218731,5230,11595,0.21151816671015858,0.10793968301985385,Under-segmentation,0.16624483813998636,2016,10502,0.5531914892390976,0.19202954299184263,Under-segmentation,0.12917977969467054,7338,10371,0.2636226793513675,0.20210801660239205,Under-segmentation
41,palsar_135.png,0.0,1,8078,0.0,0.0,Under-segmentation,0.0,0,8078,0.0,0.0,Under-segmentation,0.0,0,8078,0.0,0.0,Under-segmentation,0.011008735190737258,279,7986,0.24797843598927646,0.011388957661377945,Under-segmentation
42,palsar_136.png,0.0,0,2920,0.0,0.0,Under-segmentation,0.0,0,2920,0.0,0.0,Under-segmentation,0.0,0,2920,0.0,0.0,Under-segmentation,0.0,0,2920,0.0,0.0,Under-segmentation
43,palsar_137.png,0.0,0,11964,0.0,0.0,Under-segmentation,0.011240371009963813,758,11821,0.15871254144427022,0.01195252423838578,Under-segmentation,0.0,82,11964,0.0,0.0,Under-segmentation,0.014469575811859753,1167,11774,0.14001473829033548,0.015880976260792296,Under-segmentation
44,palsar_138.png,0.17905426847482994,4059,8875,0.4100290697078446,0.2411935704308145,Under-segmentation,0.17485005590246772,7978,8256,0.30127868275518666,0.29411764703367665,Under-segmentation,0.22006387767840913,7403,7493,0.3621402722417594,0.35935362514027414,Under-segmentation,0.14207011685352977,6274,9143,0.28922623764707983,0.21827975374330713,Under-segmentation
45,palsar_139.png,0.0,0,1353,0.0,0.0,Under-segmentation,0.0,0,1353,0.0,0.0,Under-segmentation,0.0,0,1353,0.0,0.0,Under-segmentation,0.0,0,1353,0.0,0.0,Under-segmentation
