Model,cluster_id,cluster_label,n_images,F1_mean,F1_lo,F1_hi,F1_pixel,Precision_pixel,Recall_pixel,FPR_pixel
CBD-Net,0,PALSAR: Calm sea / low-wind,81,0.19217284745209487,0.12499860206102764,0.2616555494434257,0.5573369500635783,0.7357351870956148,0.44857014495294906,0.05811156821150377
CBD-Net,1,PALSAR: Rough sea / high-wind,360,0.11055549302691862,0.08598545714919217,0.13681303375398193,0.411192368268205,0.8856629001276644,0.2677518455311353,0.006123282726525447
CBD-Net,2,PALSAR: Moderate sea,335,0.1901064791821811,0.15733557616296245,0.22158726762348468,0.46234514723317705,0.8602032938747916,0.3161302525406867,0.013769652450024263
CBD-Net,3,SENTINEL: Rough sea / high-wind,269,0.2652862955650095,0.22318276417232985,0.3097836057505297,0.7118932118007838,0.8314675194717789,0.6223877624986375,0.04739629029259043
CBD-Net,4,SENTINEL: Moderate sea,558,0.4162100468047955,0.38195654140584034,0.45201954434239083,0.7661180224464292,0.799530060654052,0.7353874367856882,0.12357967908395756
CBD-Net,5,SENTINEL: Calm sea / low-wind,12,0.6029952517380296,0.3332990307997406,0.8378552529697383,0.9550892516150182,0.9518278032009387,0.9583741345317605,0.0660690466847153
DAENet,0,PALSAR: Calm sea / low-wind,81,0.1477151145850577,0.08430657617321569,0.21965333965234973,0.4932127354601446,0.8232310407003925,0.3520734940292579,0.027266664523999357
DAENet,1,PALSAR: Rough sea / high-wind,360,0.05457089985345175,0.03676506103429183,0.07464754187550059,0.25030702034077146,0.9660391069299351,0.1437809266962963,0.0008954035105942791
DAENet,2,PALSAR: Moderate sea,335,0.09790397950349991,0.07460180774602691,0.12387338561409071,0.30463771963367553,0.9571644858742491,0.18114573869100623,0.0021727342595577698
DAENet,3,SENTINEL: Rough sea / high-wind,269,0.17878615715257096,0.14100107066552922,0.220941319575937,0.5957738885838202,0.9539329152254548,0.4331471751264115,0.0078587480145197
DAENet,4,SENTINEL: Moderate sea,558,0.41781764140896804,0.3841684756370588,0.4515956104817641,0.7327882328160474,0.7106115686335237,0.7563947223174177,0.20644947226963356
DAENet,5,SENTINEL: Calm sea / low-wind,12,0.595296288561835,0.34635778779354226,0.8367079620635954,0.8119869459479591,0.6981164919362933,0.970245844034854,0.5715025500173735
DS-UNet,0,PALSAR: Calm sea / low-wind,81,0.15210384550385941,0.09289242946772919,0.21765199677159677,0.4160095307183009,0.7844266554150325,0.28306470177601006,0.028057104518856714
DS-UNet,1,PALSAR: Rough sea / high-wind,360,0.11100303885362274,0.08462795290328701,0.1394544219612053,0.36119428279034416,0.9607781438257189,0.22240219429397376,0.0016083376012712377
DS-UNet,2,PALSAR: Moderate sea,335,0.20575610571360525,0.17361558999987955,0.2405558142116417,0.47040935775273807,0.8891221689140408,0.3198047652983238,0.010688808510008316
DS-UNet,3,SENTINEL: Rough sea / high-wind,269,0.23477861547754422,0.19156742138885138,0.278097372789079,0.6244775629991874,0.9471596359765575,0.46579078443615773,0.009762892162777339
DS-UNet,4,SENTINEL: Moderate sea,558,0.4751664036219587,0.44306007394959895,0.51025866608954,0.7550238254823656,0.7270490694773504,0.7852385850760231,0.1975781355839975
DS-UNet,5,SENTINEL: Calm sea / low-wind,12,0.5929343007155748,0.3385537928072814,0.8251707485953016,0.8395067410713118,0.7478288665068098,0.9568044883213805,0.4394821498609671
DeepLabV3+,0,PALSAR: Calm sea / low-wind,81,0.23430612082481148,0.16990019243061408,0.3050832758201315,0.5816581437087186,0.7404290308266492,0.47895595704820987,0.0605595551841412
DeepLabV3+,1,PALSAR: Rough sea / high-wind,360,0.11229452542211547,0.09022073774722643,0.1343530144718377,0.35034573930795226,0.8051399965062984,0.22388288661788028,0.009598543164150755
DeepLabV3+,2,PALSAR: Moderate sea,335,0.16203577953380602,0.13688207903908267,0.1893300863283297,0.3812592334521411,0.7674099546764914,0.2536342634029637,0.02060310613039509
DeepLabV3+,3,SENTINEL: Rough sea / high-wind,269,0.26177606415507493,0.21740090886752889,0.30141046437807023,0.6839208727517067,0.7813480926900326,0.6080973665475689,0.0639332552731335
DeepLabV3+,4,SENTINEL: Moderate sea,558,0.3948796316598307,0.36403695934793506,0.42675214666966044,0.7357531260199882,0.7898592074454185,0.6885853297643082,0.12278203906281844
