epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.573274,0.474539,0.635097,0.653502,0.711423,0.604303,0.905097,0.821145,1.00e-04,339.6
2,0.530361,0.468016,0.595248,0.585562,0.730620,0.488562,0.930260,0.806981,1.00e-04,326.6
3,0.520833,0.474233,0.555031,0.515521,0.719946,0.401514,0.939531,0.789370,1.00e-04,303.5
4,0.518715,0.423519,0.616231,0.612158,0.773491,0.506512,0.942574,0.820868,1.00e-04,311.6
5,0.514805,0.439429,0.610631,0.607454,0.748940,0.510932,0.933690,0.815697,1.00e-04,341.2
6,0.513003,0.441795,0.614274,0.610714,0.763506,0.508878,0.938975,0.818934,1.00e-04,327.3
7,0.509395,0.442204,0.631454,0.646506,0.717767,0.588118,0.910468,0.820500,1.00e-04,257.1
8,0.508582,0.431307,0.622895,0.628385,0.741257,0.545346,0.926301,0.819976,1.00e-04,247.9
9,0.505814,0.451922,0.601961,0.597032,0.729483,0.505289,0.927455,0.809627,1.00e-04,244.9
10,0.506064,0.450266,0.629151,0.639841,0.732405,0.568049,0.919647,0.821516,5.00e-05,279.1
11,0.501717,0.430111,0.609862,0.608597,0.736415,0.518588,0.928136,0.813831,5.00e-05,256.2
12,0.500198,0.432746,0.609182,0.605062,0.749194,0.507440,0.934231,0.815113,5.00e-05,259.0
13,0.499895,0.442456,0.606400,0.606316,0.720106,0.523581,0.921210,0.810231,5.00e-05,263.1
14,0.500225,0.429519,0.612120,0.616443,0.716364,0.540986,0.917072,0.812105,5.00e-05,318.1
15,0.498925,0.426474,0.619501,0.621309,0.750518,0.530056,0.931784,0.819661,5.00e-05,264.9
16,0.498293,0.424035,0.618104,0.625320,0.719544,0.552917,0.916563,0.815069,2.50e-05,257.1
17,0.497075,0.431895,0.611443,0.613251,0.726102,0.530760,0.922486,0.813155,2.50e-05,256.1
18,0.496362,0.435124,0.599073,0.586822,0.758278,0.478605,0.940932,0.811896,2.50e-05,257.6
19,0.496885,0.422137,0.615321,0.615303,0.747188,0.522992,0.931490,0.817478,2.50e-05,279.0
20,0.495115,0.414682,0.632465,0.645198,0.730997,0.577426,0.917733,0.822752,2.50e-05,254.6
21,0.495263,0.425493,0.610876,0.608959,0.743019,0.515882,0.930922,0.815083,2.50e-05,323.8
22,0.495157,0.418665,0.629928,0.635931,0.759202,0.547100,0.932818,0.825163,2.50e-05,258.1
23,0.495030,0.429100,0.610752,0.607561,0.749414,0.510864,0.933865,0.815805,2.50e-05,279.6
24,0.495086,0.427771,0.611415,0.610231,0.740917,0.518735,0.929773,0.815051,2.50e-05,248.3
25,0.494141,0.422968,0.618496,0.623188,0.732598,0.542211,0.923378,0.816993,2.50e-05,255.3
26,0.494531,0.420884,0.616008,0.619104,0.733260,0.535705,0.924552,0.816024,1.25e-05,245.4
27,0.492784,0.423827,0.623352,0.629356,0.739929,0.547535,0.925492,0.820003,1.25e-05,260.4
28,0.492965,0.428774,0.611119,0.611136,0.733879,0.523568,0.926495,0.814037,1.25e-05,257.8
29,0.492603,0.426932,0.609518,0.603831,0.759098,0.501296,0.938408,0.816409,1.25e-05,254.8
30,0.492553,0.427656,0.619627,0.620909,0.753805,0.527849,0.933255,0.820105,1.25e-05,238.8
31,0.493257,0.423123,0.625147,0.631360,0.744010,0.548337,0.926957,0.821283,1.25e-05,237.0
32,0.491908,0.428644,0.620395,0.629031,0.719145,0.558987,0.915481,0.815983,6.25e-06,257.5
33,0.489687,0.422068,0.630836,0.637744,0.756808,0.551051,0.931444,0.825276,6.25e-06,237.8
34,0.491289,0.418533,0.627646,0.631947,0.761942,0.539844,0.934699,0.824494,6.25e-06,236.6
35,0.492686,0.422525,0.626851,0.634783,0.739955,0.555787,0.924379,0.821505,6.25e-06,242.6
