Model,sensor,n_images,mIoU,F1,Precision,Recall,FPR_pixel
CBD-Net,palsar,776,0.5750148382425373,0.46073076902860877,0.8383555051140537,0.31765042246107017,0.014248092057736882
CBD-Net,sentinel,839,0.69442695211606,0.758531374962815,0.8100463746237908,0.7131776878559475,0.09517374136732751
DAENet,palsar,776,0.513861023173944,0.3181832148786885,0.9193695023620124,0.19238245913748062,0.0039250870795
DAENet,sentinel,839,0.6406803387948767,0.710031925458117,0.7390367395472027,0.683218748663447,0.13729502705117055
DS-UNet,palsar,776,0.5593494071737645,0.4242314162538505,0.8910334308108038,0.2783877824101372,0.007919978951559624
DS-UNet,sentinel,839,0.6625473966716167,0.7330750075724924,0.7554160936306036,0.7120183600944522,0.1311941672198809
DeepLabV3+,palsar,776,0.5471572511197083,0.40613473656401367,0.7711088465850203,0.2756616430021206,0.01903549784223987
DeepLabV3+,sentinel,839,0.6662459194285588,0.7290051480851439,0.7922158507787429,0.6751370532901942,0.10077261331841159
LRA-UNet,palsar,776,0.5282091666783115,0.358126657788708,0.8249883415551996,0.2287035412867671,0.011286691005587225
LRA-UNet,sentinel,839,0.6727096556644014,0.7350742986458796,0.8006610216938514,0.6794200361519095,0.09626392873799375
SegFormer,palsar,776,0.5655073023155097,0.44308707406094017,0.8091101029674751,0.30507749418345503,0.01674403285364883
SegFormer,sentinel,839,0.6958911986073486,0.7635886377971561,0.792432866894635,0.7367714257700637,0.10982736693453729
TransUNet,palsar,776,0.5891098159119198,0.5002718677321323,0.7235398348604033,0.3823026427072155,0.033982239318116586
TransUNet,sentinel,839,0.6745326501017421,0.7453532121424329,0.7638687712360592,0.7277149676673418,0.12801995487550408
U-Net,palsar,776,0.5553418745393457,0.4146349331485485,0.9071167269629625,0.26873613575144534,0.00640140022398929
U-Net,sentinel,839,0.6663386438539083,0.7343936402396459,0.7685996660757051,0.7031034367803067,0.12046605854867432
ViT-UNet,palsar,776,0.567512455972784,0.4431675148178853,0.8660112793110257,0.29777476642466705,0.010717837346855308
ViT-UNet,sentinel,839,0.7051311631798588,0.7675880504743009,0.82667125674571,0.7163878619083699,0.08548061929083048
ViT-UNet (4-skip),palsar,776,0.6669552128975177,0.6424310483225474,0.7060171132227252,0.5893530191996543,0.05708958842049429
ViT-UNet (4-skip),sentinel,839,0.6698323162721669,0.7637990837649861,0.6899085018043666,0.8554170721082183,0.21880536500850697
