epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
5,0.530041,0.450957,0.618832,0.615454,0.778553,0.508855,0.943964,0.822524,1.00e-04,210.6
1,0.556742,0.444050,0.641870,0.649028,0.788874,0.551299,0.942877,0.833587,1.00e-04,224.4
6,0.530094,0.448170,0.571696,0.534427,0.790232,0.403735,0.958507,0.803669,1.00e-04,225.7
2,0.540285,0.452847,0.585491,0.571828,0.716069,0.475956,0.926934,0.801065,1.00e-04,224.0
7,0.524956,0.442494,0.619920,0.623125,0.744352,0.535855,0.928748,0.819090,1.00e-04,226.2
3,0.534110,0.458873,0.560233,0.520780,0.744372,0.400485,0.946753,0.794289,1.00e-04,224.0
8,0.523181,0.442249,0.611599,0.613766,0.724855,0.532203,0.921787,0.813054,1.00e-04,224.8
4,0.532570,0.439430,0.642741,0.654923,0.760743,0.574949,0.929992,0.830899,1.00e-04,225.8
9,0.524603,0.447602,0.606017,0.598953,0.754478,0.496589,0.937435,0.814394,1.00e-04,227.8
5,0.530401,0.435026,0.635712,0.647613,0.743515,0.573625,0.923389,0.825769,1.00e-04,225.5
10,0.523781,0.433275,0.613233,0.604258,0.793607,0.487859,0.950878,0.821649,1.00e-04,226.7
6,0.529042,0.439655,0.613683,0.608911,0.768572,0.504176,0.941223,0.819243,1.00e-04,224.4
11,0.522340,0.436196,0.620621,0.622546,0.753394,0.530424,0.932781,0.820482,1.00e-04,229.1
7,0.526820,0.451671,0.606359,0.600499,0.749023,0.501131,0.934990,0.813899,1.00e-04,228.5
12,0.521052,0.435361,0.617885,0.623756,0.725193,0.547215,0.919718,0.815751,1.00e-04,226.1
8,0.524916,0.427543,0.644772,0.656657,0.768034,0.573493,0.932940,0.832618,1.00e-04,224.6
13,0.517314,0.435012,0.622641,0.625096,0.756797,0.532439,0.933756,0.821748,1.00e-04,226.0
9,0.524293,0.452887,0.612177,0.606008,0.771539,0.498958,0.942799,0.818922,1.00e-04,224.7
14,0.517629,0.451254,0.544241,0.493415,0.726426,0.373583,0.945530,0.785898,1.00e-04,223.5
10,0.523655,0.436972,0.633679,0.637383,0.784868,0.536559,0.943060,0.829605,1.00e-04,223.4
15,0.519345,0.435383,0.624049,0.630122,0.741577,0.547792,0.926094,0.820509,1.00e-04,227.1
11,0.521666,0.436664,0.635520,0.652862,0.716992,0.599263,0.908422,0.822135,1.00e-04,225.5
16,0.518794,0.439565,0.579414,0.550463,0.774723,0.426891,0.951941,0.805398,5.00e-05,223.8
12,0.521749,0.438481,0.615613,0.611630,0.770736,0.506974,0.941614,0.820305,1.00e-04,223.1
17,0.515670,0.430494,0.614807,0.608879,0.779813,0.499410,0.945406,0.820927,5.00e-05,225.0
13,0.519816,0.437043,0.604526,0.592512,0.778301,0.478329,0.947249,0.816373,1.00e-04,224.4
18,0.511489,0.440503,0.608473,0.602678,0.756029,0.501047,0.937401,0.815614,5.00e-05,223.2
14,0.520878,0.449004,0.587925,0.570813,0.742279,0.463700,0.937668,0.805383,5.00e-05,214.3
15,0.515125,0.438606,0.596049,0.582031,0.756742,0.472860,0.941151,0.810450,5.00e-05,223.6
16,0.515684,0.449510,0.554938,0.509473,0.752297,0.385155,0.950902,0.793001,5.00e-05,224.0
17,0.514331,0.431691,0.630998,0.634066,0.780068,0.534102,0.941700,0.827939,5.00e-05,229.5
18,0.511542,0.430179,0.609854,0.603608,0.763535,0.499074,0.940160,0.817052,5.00e-05,225.6
19,0.514152,0.433830,0.632763,0.638369,0.770136,0.545105,0.937010,0.827628,5.00e-05,225.2
20,0.512873,0.445173,0.595714,0.585842,0.733172,0.487817,0.931266,0.807499,2.50e-05,227.3
21,0.510761,0.427251,0.620905,0.621688,0.760719,0.525624,0.935990,0.821456,2.50e-05,229.1
22,0.509993,0.425102,0.617269,0.613311,0.776522,0.506793,0.943532,0.821637,2.50e-05,229.8
23,0.510308,0.429623,0.609079,0.604848,0.749451,0.507022,0.934376,0.815100,2.50e-05,225.2
