epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.729326,0.557918,0.594472,0.602091,0.659296,0.554021,0.889156,0.795619,1.00e-04,175.4
2,0.604543,0.492602,0.632338,0.670987,0.640174,0.704916,0.846602,0.807057,1.00e-04,173.9
3,0.589799,0.478294,0.656683,0.695899,0.672309,0.721206,0.863905,0.824077,1.00e-04,175.0
4,0.586596,0.501126,0.622737,0.670945,0.607452,0.749261,0.812543,0.794881,1.00e-04,174.3
5,0.579291,0.507483,0.602942,0.634039,0.614299,0.655089,0.840757,0.788937,1.00e-04,173.9
6,0.571734,0.498138,0.616962,0.636696,0.668591,0.607706,0.883377,0.806436,1.00e-04,173.9
7,0.561657,0.456193,0.664909,0.706744,0.674872,0.741778,0.861645,0.828190,1.00e-04,173.3
8,0.576824,0.544752,0.603911,0.595572,0.754072,0.492132,0.937861,0.813457,1.00e-04,173.3
9,0.569199,0.496118,0.629301,0.671455,0.627811,0.721623,0.834372,0.802903,1.00e-04,174.6
10,0.554386,0.485950,0.621566,0.655076,0.637302,0.673871,0.851521,0.801938,1.00e-04,179.0
11,0.554675,0.446247,0.682539,0.719968,0.714874,0.725137,0.888026,0.842563,1.00e-04,181.7
12,0.548860,0.473114,0.632605,0.667292,0.650941,0.684486,0.857895,0.809496,1.00e-04,182.3
13,0.560001,0.475046,0.634182,0.676532,0.633711,0.725559,0.837634,0.806354,1.00e-04,186.9
14,0.550425,0.480881,0.621634,0.668953,0.607771,0.743834,0.814149,0.794524,1.00e-04,185.6
15,0.547578,0.462653,0.648081,0.678335,0.689683,0.667355,0.883748,0.823352,1.00e-04,183.4
16,0.544873,0.473855,0.636061,0.651688,0.726047,0.591145,0.913644,0.823634,1.00e-04,184.3
17,0.546344,0.490187,0.617878,0.649501,0.636307,0.663255,0.853230,0.800207,5.00e-05,185.6
18,0.536523,0.471334,0.633896,0.664993,0.663334,0.666661,0.869003,0.812529,5.00e-05,181.9
19,0.538572,0.458529,0.645364,0.696214,0.628005,0.781046,0.820882,0.809764,5.00e-05,180.6
20,0.533652,0.487296,0.615639,0.654759,0.616055,0.698653,0.831422,0.794366,5.00e-05,167.8
21,0.534458,0.452954,0.649721,0.688250,0.664775,0.713445,0.860713,0.819610,5.00e-05,170.4
22,0.531974,0.476559,0.618917,0.675491,0.589485,0.790882,0.786766,0.787915,5.00e-05,170.9
23,0.536588,0.478263,0.627193,0.655994,0.659128,0.652890,0.869277,0.808883,2.50e-05,170.0
24,0.525432,0.466634,0.644537,0.682703,0.658566,0.708677,0.857752,0.816145,2.50e-05,173.9
25,0.526039,0.474132,0.630736,0.675729,0.623451,0.737579,0.827529,0.802423,2.50e-05,169.5
26,0.522291,0.459528,0.643436,0.686594,0.643647,0.735684,0.842307,0.812548,2.50e-05,169.5
27,0.524673,0.495894,0.621230,0.659356,0.625914,0.696574,0.838820,0.799118,2.50e-05,169.3
28,0.526092,0.466942,0.629111,0.672969,0.623841,0.730498,0.829468,0.801845,2.50e-05,167.1
29,0.521892,0.483932,0.609302,0.647558,0.609075,0.691233,0.828234,0.789997,1.25e-05,170.3
30,0.520107,0.462886,0.632007,0.670024,0.641296,0.701448,0.848099,0.807168,1.25e-05,169.6
31,0.517967,0.455479,0.648186,0.687925,0.659104,0.719382,0.855949,0.817833,1.25e-05,174.3
32,0.515531,0.469122,0.627737,0.671570,0.622155,0.729515,0.828471,0.800852,1.25e-05,166.6
33,0.515959,0.468914,0.627307,0.661301,0.644789,0.678681,0.855249,0.805968,1.25e-05,171.9
34,0.515118,0.465010,0.634393,0.668681,0.654756,0.683213,0.860526,0.811038,1.25e-05,172.0
35,0.516182,0.470389,0.627445,0.659865,0.649223,0.670862,0.859667,0.806971,6.25e-06,175.8
36,0.512719,0.463431,0.639070,0.673956,0.660120,0.688384,0.862778,0.814105,6.25e-06,171.1
37,0.512939,0.472534,0.628095,0.665067,0.638349,0.694120,0.847751,0.804872,6.25e-06,177.7
38,0.511832,0.475434,0.628838,0.666880,0.636773,0.699976,0.845416,0.804823,6.25e-06,183.4
39,0.511450,0.481707,0.619253,0.652691,0.633966,0.672556,0.849661,0.800230,6.25e-06,186.9
40,0.512024,0.478739,0.620681,0.661690,0.618940,0.710784,0.830577,0.797143,6.25e-06,178.9
41,0.510116,0.464516,0.635537,0.673749,0.645765,0.704269,0.850430,0.809636,3.13e-06,174.5
42,0.508649,0.463969,0.637096,0.675488,0.647480,0.706029,0.851177,0.810666,3.13e-06,182.2
43,0.509556,0.463910,0.637766,0.676629,0.647173,0.708897,0.850372,0.810886,3.13e-06,176.5
44,0.510016,0.459054,0.642315,0.678449,0.661278,0.696538,0.861868,0.815724,3.13e-06,175.9
45,0.509628,0.463021,0.637185,0.670777,0.661058,0.680788,0.864859,0.813484,3.13e-06,172.1
46,0.508707,0.473379,0.628956,0.667971,0.634594,0.705056,0.842822,0.804371,3.13e-06,170.8
47,0.509255,0.479217,0.622210,0.659240,0.629793,0.691577,0.842610,0.800457,1.56e-06,169.8
48,0.508301,0.476668,0.625081,0.663121,0.631506,0.698069,0.842297,0.802042,1.56e-06,168.6
49,0.508936,0.475385,0.627333,0.664949,0.635689,0.697033,0.845342,0.803949,1.56e-06,169.3
50,0.506996,0.469193,0.630475,0.667669,0.641202,0.696415,0.849127,0.806505,1.56e-06,170.3
51,0.507042,0.467903,0.632897,0.670109,0.644625,0.697691,0.851087,0.808274,1.56e-06,169.0
52,0.506005,0.467214,0.633439,0.672715,0.640134,0.708792,0.845731,0.807511,1.56e-06,168.0
53,0.506478,0.470940,0.629588,0.667906,0.637153,0.701779,0.845272,0.805223,7.81e-07,166.9
54,0.506676,0.469084,0.632806,0.670405,0.643492,0.699669,0.849925,0.807988,7.81e-07,166.3
55,0.506360,0.468210,0.633426,0.669681,0.647908,0.692970,0.854204,0.809203,7.81e-07,175.9
56,0.507559,0.472464,0.628590,0.663108,0.645350,0.681871,0.854924,0.806625,7.81e-07,190.3
57,0.506486,0.470323,0.631215,0.665992,0.648603,0.684340,0.856458,0.808419,7.81e-07,166.8
58,0.505669,0.468987,0.632607,0.669292,0.645580,0.694813,0.852319,0.808359,7.81e-07,167.2
59,0.505422,0.470988,0.631482,0.670261,0.638662,0.705151,0.845541,0.806358,3.91e-07,167.9
60,0.506395,0.469601,0.632057,0.669787,0.642094,0.699976,0.848943,0.807366,3.91e-07,165.1
61,0.505296,0.471279,0.630698,0.667345,0.642916,0.693705,0.850830,0.806976,3.91e-07,162.9
62,0.506308,0.471449,0.630299,0.667275,0.641501,0.695207,0.849584,0.806497,3.91e-07,163.4
63,0.507169,0.475698,0.625963,0.661238,0.639481,0.684528,0.850589,0.804241,3.91e-07,162.5
64,0.506746,0.473767,0.627980,0.662974,0.643193,0.684011,0.853092,0.805902,3.91e-07,162.3
65,0.505319,0.471193,0.631237,0.666774,0.646604,0.688244,0.854369,0.808003,1.95e-07,162.9
66,0.505876,0.474525,0.626940,0.664004,0.636470,0.694029,0.846528,0.803965,1.95e-07,163.0
67,0.506513,0.474332,0.627882,0.665129,0.637367,0.695421,0.846815,0.804561,1.95e-07,162.7
68,0.505850,0.475475,0.626974,0.664557,0.635257,0.696691,0.845130,0.803700,1.95e-07,162.5
69,0.504536,0.473478,0.628670,0.663455,0.644767,0.683261,0.854257,0.806532,1.95e-07,162.8
70,0.506066,0.473425,0.628715,0.663652,0.644438,0.684047,0.853880,0.806480,1.95e-07,162.7
71,0.504767,0.469347,0.632227,0.667733,0.648148,0.688540,0.855288,0.808748,9.77e-08,162.6
72,0.505205,0.474762,0.626923,0.664373,0.635505,0.695991,0.845451,0.803736,9.77e-08,163.1
73,0.505676,0.472706,0.628934,0.665317,0.641035,0.691512,0.850080,0.805824,9.77e-08,162.7
74,0.506194,0.471480,0.630848,0.666737,0.645104,0.689871,0.853064,0.807517,9.77e-08,162.9
75,0.504932,0.472244,0.629815,0.665929,0.643005,0.690549,0.851566,0.806626,9.77e-08,162.4
76,0.505128,0.474043,0.627912,0.664643,0.638683,0.692805,0.848259,0.804871,9.77e-08,162.8
77,0.505258,0.472738,0.629107,0.664681,0.643359,0.687467,0.852457,0.806408,4.88e-08,163.9
78,0.504849,0.471360,0.629935,0.668297,0.637531,0.702185,0.845435,0.805454,4.88e-08,163.1
79,0.506314,0.474302,0.628089,0.664693,0.639254,0.692242,0.848757,0.805073,4.88e-08,163.2
80,0.505880,0.473263,0.629009,0.664560,0.643276,0.687301,0.852439,0.806349,4.88e-08,162.3
81,0.504969,0.475578,0.626507,0.662109,0.639461,0.686421,0.850164,0.804463,4.88e-08,162.9
82,0.504213,0.473169,0.628668,0.664632,0.641715,0.689247,0.851012,0.805863,4.88e-08,163.2
83,0.506669,0.473568,0.628797,0.665105,0.641025,0.691066,0.850170,0.805764,2.44e-08,162.4
84,0.505756,0.473323,0.629134,0.667351,0.636764,0.701025,0.845178,0.804945,2.44e-08,162.7
85,0.504947,0.474570,0.627711,0.664162,0.639093,0.691279,0.848862,0.804880,2.44e-08,162.5
86,0.507380,0.474128,0.627617,0.663056,0.641511,0.686099,0.851561,0.805380,2.44e-08,161.9
87,0.504667,0.472452,0.629452,0.665382,0.642946,0.689443,0.851766,0.806461,2.44e-08,163.7
88,0.506016,0.474851,0.627648,0.664968,0.636855,0.695679,0.846419,0.804347,2.44e-08,163.8
89,0.504576,0.472177,0.629451,0.665448,0.642773,0.689783,0.851581,0.806423,1.22e-08,162.6
90,0.506297,0.473688,0.628140,0.665168,0.638274,0.694430,0.847633,0.804874,1.22e-08,162.9
91,0.506020,0.473134,0.629484,0.666296,0.640746,0.693969,0.849359,0.805989,1.22e-08,163.3
92,0.507415,0.473385,0.628564,0.663499,0.644215,0.683974,0.853753,0.806368,1.22e-08,163.5
93,0.504468,0.473575,0.628520,0.663932,0.642913,0.686374,0.852405,0.806065,1.22e-08,164.1
94,0.505783,0.472748,0.629452,0.666220,0.640813,0.693726,0.849455,0.805991,1.22e-08,162.6
95,0.505542,0.473923,0.627736,0.663557,0.640711,0.688095,0.850611,0.805252,1.22e-08,162.2
96,0.505595,0.474497,0.627190,0.664048,0.637331,0.693103,0.847303,0.804265,1.22e-08,163.0
97,0.504464,0.475040,0.627048,0.664981,0.634518,0.698518,0.844228,0.803560,1.22e-08,162.1
98,0.505819,0.473305,0.628682,0.665556,0.639435,0.693904,0.848513,0.805361,1.22e-08,163.1
99,0.505019,0.473628,0.628736,0.665066,0.640881,0.691150,0.850058,0.805706,1.22e-08,163.3
