model,seed,epoch,mIoU,F1,Precision,Recall
CBD-Net,123,23,0.6544099035596349,0.6626650096282148,0.7862510769121615,0.5726538462853735
CBD-Net,42,14,0.6724347231535803,0.6891865064770476,0.7799074734793231,0.6173728897619469
CBD-Net,7,18,0.6407500113086864,0.6384051185370923,0.8155141411853123,0.5244981775022478
DAENet,123,22,0.6526355663936357,0.6601671482038872,0.7856812028514757,0.5692320882733954
DAENet,42,20,0.6416800502993827,0.6431575003672242,0.7910685247922784,0.5418459844052779
DAENet,7,7,0.6420420164353634,0.6530903310769942,0.7352215444184268,0.5874657305439407
DS-UNet,123,19,0.6435532680537746,0.6501354788046348,0.7642193373881985,0.56568933967091
DS-UNet,42,14,0.6503648151504209,0.6595539445048204,0.7682919330291681,0.5777803266015997
DS-UNet,7,31,0.6443352602049153,0.6520412958826588,0.7598314339973342,0.5710348161483186
DeepLabV3+,123,22,0.657253643430994,0.6688328933520182,0.7728863223749499,0.5894731801530471
DeepLabV3+,42,14,0.6301959159932905,0.6306195952769423,0.7593656123017813,0.5392018862309681
DeepLabV3+,7,14,0.6731555670726042,0.6912679204809913,0.7729345334915318,0.625210416683265
LRA-UNet,123,22,0.6412767888560331,0.6470711965833913,0.7621314199916412,0.5621963463395302
LRA-UNet,42,21,0.6305516038256328,0.6306812703366902,0.762269032760505,0.5378371962836079
LRA-UNet,7,19,0.63756049057599,0.643111430935498,0.7525044519787253,0.5614877327717558
SegFormer,123,10,0.6478322589098147,0.6562642793045534,0.7656101689463177,0.5742497089818036
SegFormer,42,14,0.6533115869195198,0.6554727416519672,0.8277507803689658,0.5425530930015157
SegFormer,7,15,0.6676195662904085,0.6836704004468073,0.7722460247008246,0.613323832250372
TransUNet,123,5,0.6117729365724743,0.5926394801324897,0.8189008219814677,0.4643428233949894
TransUNet,42,19,0.6437732942123036,0.6524632048849032,0.7525657002714279,0.5758653643342005
TransUNet,7,19,0.6403654344744256,0.6471974312580738,0.753414779746638,0.5672295640256818
U-Net,123,35,0.6509584824709758,0.6640925695392951,0.7470313837723561,0.5977306853434883
U-Net,42,12,0.6096210141430595,0.5968288489189967,0.7653178180240053,0.4891422460331805
U-Net,7,22,0.6252304186512785,0.6214676707403353,0.76782930574464,0.5219716039233914
ViT-UNet,123,26,0.6545484298838906,0.6676705979567423,0.7563369843705464,0.5976125678804598
ViT-UNet,42,5,0.6491478662838013,0.6714217805640184,0.6997046564534981,0.6453374499625173
ViT-UNet,7,8,0.6674122838704188,0.6877043131928892,0.7469111845477626,0.6371954171336158
vit_unet_4skip,123,25,0.670555,0.708749,0.675255,0.74574
vit_unet_4skip,42,16,0.665829,0.698256,0.688973,0.707794
vit_unet_4skip,7,11,0.673832,0.710466,0.685148,0.737728
