epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.715800,0.620940,0.529288,0.454966,0.726227,0.331241,0.953675,0.785249,1.00e-04,2434.4
2,0.603508,0.554937,0.550588,0.626175,0.496942,0.846250,0.682197,0.726588,1.00e-04,6370.2
3,0.595962,0.624831,0.480896,0.590588,0.435661,0.916512,0.559571,0.656157,1.00e-04,7151.1
4,0.593897,0.540918,0.640101,0.697615,0.595950,0.841103,0.788446,0.802695,1.00e-04,7091.3
5,0.584983,0.463147,0.642680,0.655730,0.726807,0.597317,0.916708,0.830283,1.00e-04,6910.2
6,0.580464,0.625235,0.472342,0.562881,0.426926,0.825886,0.588731,0.652904,1.00e-04,4774.4
7,0.579363,0.501521,0.577661,0.627867,0.539489,0.750876,0.762221,0.759151,1.00e-04,1427.0
8,0.570056,0.551740,0.539805,0.620304,0.485843,0.857675,0.663279,0.715881,1.00e-04,1270.8
9,0.572043,0.504475,0.568622,0.639144,0.515618,0.840503,0.707082,0.743185,1.00e-04,1324.6
10,0.566638,0.574692,0.532783,0.553970,0.508273,0.608698,0.781537,0.734768,1.00e-04,1400.0
11,0.563595,0.532878,0.588843,0.623748,0.571087,0.687108,0.808557,0.775694,5.00e-05,1397.1
12,0.559375,0.494001,0.607927,0.649672,0.585562,0.729548,0.808447,0.787098,5.00e-05,1396.9
13,0.551018,0.515644,0.609464,0.657400,0.578071,0.761966,0.793680,0.785098,5.00e-05,1610.7
14,0.549425,0.467112,0.640885,0.672902,0.651953,0.695244,0.862309,0.817102,5.00e-05,1624.4
15,0.546556,0.492309,0.609658,0.665759,0.567546,0.805077,0.772425,0.781261,5.00e-05,3777.7
16,0.553067,0.453607,0.665829,0.698256,0.688973,0.707794,0.881464,0.834470,5.00e-05,4959.8
17,0.546737,0.513064,0.614869,0.657951,0.591992,0.740453,0.810679,0.791677,5.00e-05,5361.8
18,0.544531,0.503704,0.591609,0.643113,0.553608,0.767143,0.770524,0.769609,5.00e-05,902.5
19,0.542344,0.473747,0.630765,0.667117,0.626025,0.713983,0.841771,0.807193,5.00e-05,915.5
20,0.546088,0.489666,0.608953,0.645445,0.595797,0.704120,0.822787,0.790676,5.00e-05,846.8
21,0.543875,0.497437,0.626031,0.658905,0.627428,0.693709,0.847183,0.805654,5.00e-05,840.1
22,0.545073,0.462596,0.631303,0.671417,0.618362,0.734433,0.831846,0.805486,2.50e-05,837.4
23,0.537191,0.467172,0.638284,0.675636,0.633992,0.723137,0.845127,0.812117,2.50e-05,2039.4
24,0.534573,0.486496,0.613539,0.662110,0.581798,0.768146,0.795165,0.787854,2.50e-05,6051.6
25,0.534412,0.468642,0.645204,0.691151,0.622847,0.776282,0.825617,0.812268,2.50e-05,4319.4
26,0.537265,0.480908,0.602941,0.657745,0.562098,0.792617,0.770926,0.776796,2.50e-05,933.4
27,0.530869,0.479367,0.616902,0.659396,0.595507,0.738642,0.813875,0.793517,2.50e-05,1053.1
28,0.532449,0.475097,0.630889,0.662987,0.636578,0.691683,0.853508,0.809719,1.25e-05,959.5
29,0.528580,0.473066,0.638328,0.672744,0.641536,0.707144,0.853418,0.813838,1.25e-05,1016.9
30,0.527568,0.486524,0.622622,0.652410,0.629728,0.676789,0.852372,0.804860,1.25e-05,920.1
31,0.529649,0.497395,0.609723,0.638794,0.611446,0.668706,0.842356,0.795368,1.25e-05,910.4
